Average Perplexity Score: 12.982
<SOS> resumption of the session <EOS>    PP Score = 10.287
<SOS> everyone understands mrs schroedter ladies and gentlemen the reasons and the time limits involved and i shall come back to this point presently and whatever the time limits or delays since we are discussing this report right now as the representative for the commission i consider that the report has been issued at an opportune moment with regard to the guidelines for <MOB> as it is now that we are starting the new regional programming <EOS>    PP Score = 7.957
<SOS> mrs schroedter you quite rightly pointed out that while it is chiefly up to the member states and the regions to define their own priorities in development matters european union cofinancing of the programmes requires and is the justification for a situation where community priorities as debated and approved in this house should also be taken into account in order to promote this community aspect of economic and social cohesion which many of you forcefully pointed out <EOS>    PP Score = 6.357
<SOS> so ladies and gentlemen i should like in a moment to return to the role and structure of the guidelines before mentioning the principal comments and criticisms that you mrs schroedter and the various members of this house have made <EOS>    PP Score = 6.924
<SOS> regarding the role and structure of these guidelines mr hatzidakis mrs schroedter and mrs mccarthy mentioned that the purpose of these guidelines is to assist national and regional authorities in preparing their programming strategy for each of structural fund objectives 1 2 and 3 as well as their links with the cohesion funds <EOS>    PP Score = 5.692
<SOS> this means putting forward the commission s priorities based on past experience in implementing the programmes as well as current community policies relating to structural operations <EOS>    PP Score = 8.213
<SOS> the objective is that these priorities should contribute to the better use to the optimum and efficient use as some of you have wished of community involvement including mr bradbourn using if necessary the performance reserve which is specifically intended to encourage the optimum and efficient use of european public monies <EOS>    PP Score = 5.055
<SOS> when i speak of optimum utilisation i am referring both to the national and regional levels <EOS>    PP Score = 9.636
<SOS> and so mr seppänen i shall also mention at this point speaking of the national level the link with the cohesion fund <EOS>    PP Score = 7.324
<SOS> this is the purpose of these guidelines <EOS>    PP Score = 7.030
<SOS> regarding their content as you know ladies and gentlemen of this house they are focused on three strategic priorities that your rapporteur pointed out very clearly but at the same time very passionately as i understood her presentation just now <EOS>    PP Score = 6.765
<SOS> the first priority is to improve the competitiveness of regional economies in order to create in all sectors but especially in the private sector as mr berend said the maximum number of serious worthwhile and permanent jobs the competitiveness of regional economies all regional economies and in particular mr evans that of wales but not only of wales <EOS>    PP Score = 6.171
<SOS> and because there are a number of you who have just pointed out what appeared to you to be an omission let me also add the regional economies of the european regions handicapped by their distance from the centre be they remote regions island regions or of course the most remote regions which are naturally the most distant <EOS>    PP Score = 6.705
<SOS> perhaps i may inform mr ribeiro e castro who asked me about this that as i wrote to the presidents of each of these most remote regions the commission did indeed request an extension of several weeks before publishing its anticipated report <EOS>    PP Score = 5.381
<SOS> concerning the most remote regions it was only quite belatedly that we received the memorandums from the various governments but this is not necessarily an excuse just an explanation <EOS>    PP Score = 6.912
<SOS> i myself took part in a meeting of the most remote regions on <NUM> november and within the college we considered that we would need several more weeks before being able to produce a report that dealt appropriately with the extremely serious problems and lived up to the expectations of these most remote regions i would thank you for your understanding in this matter <EOS>    PP Score = 6.164
<SOS> so that is the first priority the competitiveness of regional economies <EOS>    PP Score = 9.271
<SOS> the second priority which several of you have stressed mr puerta in particular but there were others not that i am mentioning them in any order of priority is the strengthening of social cohesion and of employment particularly by raising the profile of human resources far more so than in the past <EOS>    PP Score = 5.700
<SOS> ladies and gentlemen we now have a european union where the disparities between countries are observed to be less great proving the effectiveness and worth of the cohesion fund but where at the same time in relation to unemployment as you wrote mrs schroedter an increasing gap exists between the <NUM> or <NUM> richest regions and the <NUM> or <NUM> poorest or most disadvantaged regions this is a situation which is as it should be unjustifiable and intolerable <EOS>    PP Score = 6.080
<SOS> as far as i am concerned taking into account my own concept of the construction of europe and regional development policy in particular this is a situation which i find unacceptable and i have every intention as far as possible with your support of dedicating all the appropriations for which i am responsible to this improved social human and territorial cohesion particularly in order to prevent what i once called in this house a two speed europe a europe of wealthy districts but at the same time a europe of impoverished areas <EOS>    PP Score = 6.038
<SOS> the third objective is urban and rural development within the scope of a balanced territorial policy <EOS>    PP Score = 8.120
<SOS> in fact the guidelines take two horizontal principles into account the first is rural development and let me say mrs schroedter that i am including in rural development the matter of sustainable transport an issue i have been involved in personally for a long time <EOS>    PP Score = 7.097
<SOS> i particularly remember the time when i was minister for the environment in my own country the second principle is that of equal opportunities particularly for men and women as well as the european strategy for employment and the context of economic and monetary union <EOS>    PP Score = 7.401
<SOS> finally and in order to respond to the concerns which you have expressed in this house particularly yourself mrs schroedter in these guidelines we recall the importance and the definition of integrated strategies for development or redevelopment which of all the priorities offer the maximum opportunity to synergy to the measures undertaken and to the establishment of a decentralised partnership you expressed some concern about what might look like a lack of reference to this partnership yet there is a clear reference to it on page 5 of the guidelines <EOS>    PP Score = 6.592
<SOS> however i do wish to mention since you have asked me to do so that as far as i am concerned this partnership and i spent long enough as a regional administrator within my own country to be able to say this most sincerely is a tool one used to involve local brainpower be it in the public sector in the form of elected representatives the social and educational sectors associations or in the private sector a decentralised partnership and let me mention in this connection in response to mrs angelilli the territorial pacts which are one of the means available to this decentralised partnership <EOS>    PP Score = 5.513
<SOS> these are the reasons why the guidelines are presented according to thematic priorities since they must be taken into consideration under each of the objectives to different extents in accordance with the specific situations of each of the member states and regions <EOS>    PP Score = 6.242
<SOS> i should now like to respond briefly to a few of the comments you have made ladies and gentlemen and firstly on procedure <EOS>    PP Score = 7.190
<SOS> it is true that consultation with parliament has only come about at a late date <EOS>    PP Score = 5.522
<SOS> let me remind you that when the guidelines were adopted by the commission in the form of a draft in february 199 in line with a new procedure intended to make it easier to present comments on this text my predecessor mrs wulf mathies presented them to parliament immediately <EOS>    PP Score = 5.668
<SOS> due to the elections to the european parliament taking place around this time however parliament was not able to undertake its examination of these guidelines until after the text had been definitively adopted in july <NUM> <EOS>    PP Score = 6.848
<SOS> here in this chamber ladies and gentlemen among you i wish to assure you that in the negotiations for the programmes which are only just beginning mr hatzidakis asked me a question about this as far as member states are concerned your observations will certainly be taken into consideration <EOS>    PP Score = 8.516
<SOS> and let me assure you furthermore that when the commission adopts the guidelines with what we call the mid term review in mind in line with the regulations then the point of view of this house as expressed in this report will also be taken into account <EOS>    PP Score = 6.900
<SOS> now to the form on the subject of the role of the guidelines mrs schroedter you pointed out that this is the context in which guidelines on a number of european objectives often very precise ones should be provided <EOS>    PP Score = 6.407
<SOS> i shall not list them all but they include implementing intersectoral policies increasing efficiency in the use of public funds assisting the various partners in drawing up regional or national programming together etc the commission takes note of these but several of these guidelines or these questions are related more to other documents such as the guide to the reform of the structural funds or the methodological working document <EOS>    PP Score = 5.422
<SOS> drawing to a close i should like to focus on a number of challenges which you reiterated mrs schroedter <EOS>    PP Score = 8.874
<SOS> i am thinking for example of the idea that these guidelines are not specific enough in their recommendations <EOS>    PP Score = 7.230
<SOS> this claim that your report makes must be seen in the context of last spring s negotiations <EOS>    PP Score = 9.036
<SOS> the commission kept to the actual text of article <NUM> of the structural funds regulations which stipulates that the aim of these guidelines is to provide member states with broad indicative guidelines on relevant and agreed community policies <EOS>    PP Score = 6.567
<SOS> i actually quoted the text itself in quotation marks <EOS>    PP Score = 9.699
<SOS> moreover the guidelines may not substitute for the programming or the ex ante assessments which must be the tool used to specify priorities and the effectiveness of these programmes <EOS>    PP Score = 6.274
<SOS> you then mentioned mrs schroedter the section of the guidelines relating to urban and rural development pointing out that urban development was not sufficiently taken into consideration <EOS>    PP Score = 7.249
<SOS> i find the opposite the case <EOS>    PP Score = 14.174
<SOS> i wish to confirm the great importance the commission attaches and shall attach to the urban dimension of our cohesion policy <EOS>    PP Score = 6.199
<SOS> indeed i had occasion recently to say as much to all the ministers responsible for urban policy at a meeting in tampere <EOS>    PP Score = 7.531
<SOS> as regards rural development which a number of you brought up particularly mrs redondo jiménez the guidelines are in line with the twofold objective mentioned by your rapporteur a strong agricultural sector linked with increased competitiveness in rural areas but also protection of the environment and europe s rural heritage <EOS>    PP Score = 5.946
<SOS> it must however be stressed that the guidelines under discussion are related only to the structural funds whose objectives 1 and 2 specifically adopt the diversification of rural society as a priority <EOS>    PP Score = 7.104
<SOS> and indeed on the subject of the balance of rural society let us not forget that there is also the new rural development policy cofinanced by the eaggf guarantee section aimed at promoting reform in european agriculture and supporting the multifunctional aspect of agriculture <EOS>    PP Score = 5.692
<SOS> in any event i appreciate the vigilance of your committee on agriculture and rural development in this matter <EOS>    PP Score = 5.265
<SOS> before concluding i should like to tell mr savary that we are going to have a special debate tomorrow on the consequences of the storms which have struck france austria and germany in particular in the last few weeks and at the same time we shall once again be discussing together with my fellow commissioner mrs de palacio what lessons we might draw in the matter of the oil spillage which has also affected the coasts of france <EOS>    PP Score = 6.326
<SOS> i shall therefore reserve the right if you permit sir to give you my own opinion which to a great extent matches your own recommendation regarding what action we might take to combat the oil spillage using objective 2 <EOS>    PP Score = 5.604
<SOS> i shall remind you that the commission is going to be approving the objective 2 zoning plans for france sweden austria and luxembourg tomorrow <EOS>    PP Score = 7.024
<SOS> we shall then have an appropriate tool for working particularly in the majority of the regions affected by the storms <EOS>    PP Score = 8.387
<SOS> indeed this is my reason for paying a personal visit the day after tomorrow to two of the french departments which have been severely disabled by the storms <EOS>    PP Score = 7.249
<SOS> in conclusion with thanks for your understanding mr president i should like to thank you mrs schroedter for the quality of your work and that of the committee and to tell you that i am very pleased apart from a few differences in our assessments of the role of the guidelines we have discussed this and i have attempted to clarify my point of view <EOS>    PP Score = 6.636
<SOS> i am very pleased with the level of support offered by your house to the commission in establishing these guidelines which have been submitted to the member states for information when establishing their own programmes <EOS>    PP Score = 7.077
<SOS> this can only reinforce the concept based on a number of elements of good practice drawn from our experience of the current <MOB> programmes i feel this augurs well for effective cooperation between our two institutions at this time when programming for the period <MOB> is being undertaken good joint working practice which is mr hatzidakis backed up by something i am very attentive to observance of the code of conduct which links our two institutions <EOS>    PP Score = 5.447
<SOS> the debate is closed <EOS>    PP Score = 4.749
<SOS> the vote will take place tomorrow at <NUM> p m <EOS>    PP Score = 2.161
<SOS> social and economic situation and development of the regions of the union <EOS>    PP Score = 5.300
<SOS> the next item is the debate on the report a<MOB> 199 by mr berend on behalf of the committee on regional policy transport and tourism on the sixth periodic report on the social and economic situation and development of the regions of the european union <FOOTNOTE> <EOS>    PP Score = 3.075
<SOS> mr president commissioner this sixth periodic report on the social and economic situation and development of the regions of the european union constitutes a milestone in the analysis of regional data and highlights the progress made in this area since the issue of the fifth periodic report <EOS>    PP Score = 4.808
<SOS> i consider however that the mention of any real convergence of average regional development levels in europe offers a somewhat over simplified view of the situation and unfortunately this is often the message taken up in the press and in some speeches <EOS>    PP Score = 6.615
<SOS> the commission report generally relativises this observation particularly when it refers to the social and economic situation of some regions of the union in which i have a special interest by which i mean the french overseas departments and more generally the most remote regions <EOS>    PP Score = 6.284
<SOS> in this respect i am pleased to see that the committee on regional policy transport and tourism has adopted one of my amendments calling on the commission to devote a specific chapter in its next report on cohesion to the special case of the most remote regions and more specifically to consideration of the impact of the measures shortly to be adopted under new article 299 2 of the treaty of amsterdam <EOS>    PP Score = 5.115
<SOS> finally in my view this sixth periodic report presents interesting arguments from the viewpoint of a real project for the balanced sustainable development of europe particularly when it outlines the importance of relations between the central areas of europe and its more remote regions <EOS>    PP Score = 6.948
<SOS> even if the commission is still reluctant to say so in too explicit a fashion its periodic report demonstrates the urgent need to promote polycentric development of the community area through the union s structural policies and within the scope of the approach initiated by the sec <EOS>    PP Score = 6.402
<SOS> mr president the group of the party of european socialists in this parliament agrees with the report that mr berend has just presented and congratulates the author both on the quality of his conclusions and on his flexibility which ensured that the different groups were able to incorporate amendments in committee <EOS>    PP Score = 4.857
<SOS> it must be remembered that currently the european union s overall competitiveness is in general terms 81 of that of the united states of america and that this figure will only improve if the figure for our competitive units that is the regions also improves furthermore this is at a time when technological development economic globalisation and our problems which are enlargement and the single currency demand that the regions as well as businesses and individuals make more of an effort to be competitive <EOS>    PP Score = 6.040
<SOS> the european commission s sixth report presents very valuable conclusions <EOS>    PP Score = 7.510
<SOS> i shall summarise two of those highlighted by the rapporteur one positive and one negative <EOS>    PP Score = 7.964
<SOS> the first is that important advances have been made in regional and social cohesion throughout the union and that the community funds have been a major although not decisive factor in reducing regional inequalities <EOS>    PP Score = 7.771
<SOS> the negative conclusion is that the great effort made has been more efficient in harmonising the european regions gdp and productivity than in harmonising its levels of unemployment <EOS>    PP Score = 6.630
<SOS> it is therefore necessary to link structural financing more closely to job creation <EOS>    PP Score = 5.505
<SOS> this commissioner is the first commandment for the coming period <EOS>    PP Score = 12.849
<SOS> thus mr president i ask my fellow members to approve this report and i ask the commission as other speakers have done to take good note of the conclusions of their sixth periodic report when they address the programming for the period <MOB> <EOS>    PP Score = 7.464
<SOS> mr president commissioner i would first like to thank the rapporteur for his excellent work and for having taken due account of the proposed amendments while the committee was debating it <EOS>    PP Score = 5.644
<SOS> the sixth periodical report gives a basis for assessing the implementation of the union s regional policy aims <EOS>    PP Score = 10.354
<SOS> the report shows that growth has been uneven despite all our efforts <EOS>    PP Score = 6.143
<SOS> very rapid growth is continuing in central europe <EOS>    PP Score = 9.952
<SOS> the strongest regional centres also continue to grow faster than the general european average whereas many southern european and northern areas are developing considerably more slowly <EOS>    PP Score = 5.812
<SOS> we now require an in depth analysis of why regional policy is not producing the desired result in all areas <EOS>    PP Score = 6.264
<SOS> is the reason bureaucracy or is it because insufficient notice has been taken of interregional differences long distances climates that are too cold or too hot sparse populations and austere conditions <EOS>    PP Score = 5.980
<SOS> how can the union respond to the challenges of global development in a way that the less developed areas can remain a part of that development <EOS>    PP Score = 7.988
<SOS> it is also important to discover what the effects of union enlargement will be on structural funds and the development of the union s more remote areas <EOS>    PP Score = 6.634
<SOS> the member states must also bear in mind their responsibility <EOS>    PP Score = 11.704
<SOS> in the future we must also develop indicators so that measures can be targeted at the right time at the right place <EOS>    PP Score = 6.194
<SOS> for example uncontrolled migration has not been given sufficient consideration <EOS>    PP Score = 10.435
<SOS> in this connection too weight has to be given to the decisive importance of smes as employers and forces behind regional development <EOS>    PP Score = 6.375
<SOS> it is absolutely essential that companies in areas developing more slowly adopt the latest technology and know how <EOS>    PP Score = 5.644
<SOS> our group is in favour of adopting this report <EOS>    PP Score = 11.801
<SOS> mr president commissioner the european union s regional policy has until now not been able to interpret in any significant way the existing differences in our inhabitants incomes <EOS>    PP Score = 5.809
<SOS> we have a serious situation in which in the european union today there is a genuine link between unemployment and poverty as demonstrated by the very worrying fact that unemployment has reached on average 23 7 in the regions worst affected regions which also happen to be poor areas whilst in the <NUM> regions with the lowest unemployment corresponding to the richer areas unemployment stands at just 4 <EOS>    PP Score = 6.387
<SOS> given this situation the report approved by parliament must highlight the need for measures that aim unequivocally to fight relative poverty and unemployment measures such as the appropriate use of structural funds for these purposes which are often misspent with centralised state policies and the modernisation of telecommunication and communication systems with the particular aim of integrating the least developed regions into the trans european rail networks which are due in <NUM> <EOS>    PP Score = 5.825
<SOS> there should also be measures that respect and develop the resources and capabilities of these countries agriculture and fisheries which are often harmed by the european union s own insensitive policies as well as the promotion of active policies to create jobs particularly for women and young people only through the decisive application of this kind of measure will we be able to overcome social and regional inequality which is not the historical product of inherent defects but of marginalisation and economic policies which have had harmful effects <EOS>    PP Score = 6.202
<SOS> mr president commissioner mr berend s report is precisely in line with the strategy determined by the european commission inasmuch as the question of increasing competitiveness is brought right to the fore <EOS>    PP Score = 7.618
<SOS> the overarching objectives of the structural funds such as job creation boosting equality of opportunity increasing the sustainability of employment and development are only mentioned in passing <EOS>    PP Score = 7.320
<SOS> this attitude appears to me to be unjustified i would also ask that a great deal more emphasis be placed on these points in the seventh periodic report <EOS>    PP Score = 7.332
<SOS> this does not mean that i do not see the need for competitiveness particularly as i myself am an entrepreneur in an objective 1 region that is in brandenburg in the federal republic of germany and am only too aware of the problems and concerns of small and medium sized enterprises <EOS>    PP Score = 5.142
<SOS> they are supported by appropriate european union structural fund activities <EOS>    PP Score = 8.652
<SOS> supporting only the competitiveness of companies will never be able to compensate for the envisaged cohesion between economic and social development simply because there is no basis for a self supporting upturn in these objective 1 regions <EOS>    PP Score = 7.941
<SOS> after all the knowledge that economic development alone does not help to combat unemployment substantiates the fact than an increase of at least 3 in gross domestic product is needed to create any additional jobs at all <EOS>    PP Score = 5.898
<SOS> concentrating to the exclusion of all else on supply and demand orientated economic policy is not the answer <EOS>    PP Score = 9.766
<SOS> and those that do pursue such a policy must invest in expansion for the most part and to a lesser extent in rationalisation <EOS>    PP Score = 5.705
<SOS> it is imperative for this to go hand in hand with a demand orientated economic policy if we are to have any chance at all of improving the social situation in these areas <EOS>    PP Score = 5.489
<SOS> the situation varies to an enormous degree throughout the regions <EOS>    PP Score = 7.870
<SOS> in other words what is needed is a number of accompanying measures if anything at all is to be accomplished there <EOS>    PP Score = 8.058
<SOS> for example these would be measures for vocational training for further education for re integrating people who have already been excluded from the production process for the flexibilisation of working time and working time arrangements in order to bring about a definite improvement in the integration of personal and social aspects and perhaps also to promote employment opportunities for women again <EOS>    PP Score = 6.412
<SOS> mr president my compliments to the rapporteur for his in depth report <EOS>    PP Score = 5.073
<SOS> the key goal of the structural funds is to strengthen social and economic cohesion between the regions within the european union <EOS>    PP Score = 7.153
<SOS> by stimulating a diversity of investments the european union is endeavouring to increase the gdp per capita and to boost employment <EOS>    PP Score = 8.878
<SOS> from the sixth periodic report on the regions one can draw the hesitant conclusion that these incentives do not always have the desired effect <EOS>    PP Score = 5.294
<SOS> the efforts made in order to drive up the gdp per capita in objective 1 regions do not always result in such an increase not really a satisfying result over a period during which certainly over the past couple of years there has been economic growth <EOS>    PP Score = 6.553
<SOS> as indicated by the rapporteur the effects of the structural measures on the other hand are minimal as far as employment is concerned <EOS>    PP Score = 8.872
<SOS> some reservation about the effectiveness of community aid is therefore called for <EOS>    PP Score = 10.237
<SOS> also the observation that the disparities between regions within member states sometimes even become more pronounced raises serious questions <EOS>    PP Score = 6.955
<SOS> mr president it therefore seems worthwhile and necessary to focus attention on both national and regional authorities especially in connection with boosting employment <EOS>    PP Score = 6.664
<SOS> it is after all they who have most knowledge about the regions which fall under their remit <EOS>    PP Score = 5.916
<SOS> by allowing them to develop tailor made plans for the relevant regions and if necessary tying this in with financial aid a higher return can be achieved <EOS>    PP Score = 5.741
<SOS> surely this must be the ultimate goal <EOS>    PP Score = 10.827
<SOS> i am therefore in favour of the commission delegating the practical details and implementation of measures to the member states and regions <EOS>    PP Score = 8.613
<SOS> following on from this it is probably also more meaningful with regard to the financial aid to regions to give member states more say anyway <EOS>    PP Score = 8.611
<SOS> by shifting the criteria from the regions to the member states we can avoid a great deal of problems later on <EOS>    PP Score = 7.802
<SOS> finally i would like to draw attention to the position of the central and eastern european countries <EOS>    PP Score = 8.167
<SOS> the report shows that in general they are a long way behind eu countries especially in terms of gdp per capita <EOS>    PP Score = 6.888
<SOS> with the planned accession of a large number of these countries in the foreseeable future it is a matter of urgency to review the current structural policy i would like to take this opportunity to follow the example of others and call on the commission to submit proposals for reform sooner rather than later <EOS>    PP Score = 6.383
<SOS> mr president commissioner following close scrutiny of this report one cannot escape the conclusion that it was possible to fulfil the stated objective of the structural policy only in part <EOS>    PP Score = 6.648
<SOS> for example whilst the disparities between the regions have increased rather than decreased there has been a certain amount of convergence between the member states themselves in this respect <EOS>    PP Score = 6.715
<SOS> equally unemployment levels in the worst affected regions barely fell at all indeed they rose in some cases <EOS>    PP Score = 7.785
<SOS> i wonder why it is that the structural funds are not employed more efficiently <EOS>    PP Score = 14.396
<SOS> even the accumulation of money from the cohesion funds and the structural funds has failed to have the desired effect in all regions and countries <EOS>    PP Score = 8.122
<SOS> since it is the declared aim of all politicians throughout europe to reduce unemployment then one must pose the critical question as to whether the policy employed is the right one or whether it would not be more appropriate to boost the competitiveness of the regions by appropriate measures such as increased support for research and development improvements in infrastructure and raising the level of training <EOS>    PP Score = 6.636
<SOS> genuine structural reforms and a competition friendly taxation policy are the cornerstones of a successful economic base <EOS>    PP Score = 7.046
<SOS> if we do not wish to stand accused of pursuing a cost intensive structural policy that does nothing to improve the unemployment situation in the long term then the measures drawn up so far must be analysed <EOS>    PP Score = 6.051
<SOS> we will only be able to say that the structural policy of the union has been a success when we manage to create a sufficient number of jobs and when there is a significant reduction in the unemployment rate <EOS>    PP Score = 9.297
<SOS> mr president commissioner my thanks go to the rapporteur for handling this very important report because developments in the social and economic situation will decide to what extent the citizens of europe will judge that we have been successful in our work <EOS>    PP Score = 7.143
<SOS> this issue which has an impact on their everyday life is a key issue as regards eu credibility <EOS>    PP Score = 7.556
<SOS> it has to be conceded that the eu has already aided i would say quite magnificently the development of poor countries <EOS>    PP Score = 8.030
<SOS> i remember what portugal and greece used to be like when i drove through those countries for the first time twenty five years ago <EOS>    PP Score = 6.213
<SOS> in this connection french speakers would speak of a coup de chapeau in other words i take my hat off to the eu <EOS>    PP Score = 6.117
<SOS> the eu really deserves such a gesture but differences between rich and poor areas within countries are still too great <EOS>    PP Score = 6.135
<SOS> what is the result <EOS>    PP Score = 18.779
<SOS> people react by voting with their feet and go where they can earn a crust <EOS>    PP Score = 6.876
<SOS> consequently we have to build schools hospitals and the whole infrastructure for the same people in the same country many times over <EOS>    PP Score = 10.028
<SOS> this is very costly and it also causes very great social problems <EOS>    PP Score = 7.994
<SOS> this is a moral obligation the eu and all of us have <EOS>    PP Score = 10.040
<SOS> by entrepreneurship i do not simply mean the ownership of business but creating will <EOS>    PP Score = 11.372
<SOS> i mean the attitude where a person wants to get on in life whether he or she is an employee the owner of a business or an official <EOS>    PP Score = 5.521
<SOS> what is a fair society <EOS>    PP Score = 17.712
<SOS> one in which someone from a modest background can get on in life so as to make life a little easier for his or her children <EOS>    PP Score = 6.430
<SOS> in this way positive development of the regions is also possible because people will start business and will work if they are given the chance <EOS>    PP Score = 6.835
<SOS> finally i would say that in this matter we should learn a lesson from america where hard work is still in fashion and success is an indication of ability and not the object of envy as it often is here in europe <EOS>    PP Score = 5.514
<SOS> mr president commissioner as my time is limited i shall get straight to the point <EOS>    PP Score = 5.486
<SOS> firstly let me make a statement of fact the fruits of growth are not distributed equitably within the union <EOS>    PP Score = 7.019
<SOS> the most remote regions still hard hit by catastrophic unemployment rates offer one example of this <EOS>    PP Score = 5.869
<SOS> in reunion for example the rate is 37 <EOS>    PP Score = 17.040
<SOS> this is not a situation related to the economic climate however rather it is a structural problem created by our remoteness our insularity in short our own specific personality <EOS>    PP Score = 6.354
<SOS> the principle of specific exceptional treatment was envisaged in article 299 2 of the treaty of amsterdam in order to deal with such cases <EOS>    PP Score = 7.303
<SOS> it only remains to put this principle into practice <EOS>    PP Score = 11.164
<SOS> the commission document expected to be ready in december <NUM> was delayed until january then february and the initial thinking does not fill me with much optimism <EOS>    PP Score = 5.276
<SOS> i therefore appeal formally to the council and the commission <EOS>    PP Score = 5.938
<SOS> as regards taxation state aid the structural funds and defending our traditional products practical measures characterised by daring and ambition must be planned as a matter of urgency <EOS>    PP Score = 5.433
<SOS> if these do not materialise then unfortunately convergence and cohesion will remain no more than words for us and it is to be feared that the structural policy undertaken in our regions despite the size of the amounts committed will end in failure <EOS>    PP Score = 5.932
<SOS> mr president as all the previous speakers have done i should like in turn to thank mr berend and congratulate him on the quality of his report <EOS>    PP Score = 6.674
<SOS> just like the previous report this extremely competent and precise analysis the recommendations it supports and your own comments ladies and gentlemen shall prove useful to the commission in general and to the commissioner responsible for regional policy in particular at this time when we are involved with the programming of appropriations for <MOB> <EOS>    PP Score = 6.614
<SOS> i should also like to make a few comments firstly mr berend regarding the assessment you have made of this sixth periodic report <EOS>    PP Score = 4.681
<SOS> you pointed out the quality of the report and you even wrote if i am not mistaken that it marked a real improvement in comparison with previous reports <EOS>    PP Score = 8.261
<SOS> on behalf of all the officials of the commission and my predecessor mrs wulf mathies i must inform you that we were very alert to the evaluation made by this house and by yourself <EOS>    PP Score = 7.335
<SOS> the commission was certainly very anxious to ensure mr berend that this sixth periodic report should show that progress had been made and a threshold crossed in terms of the quality of the analysis submitted to you <EOS>    PP Score = 6.516
<SOS> i am thinking in particular of the contents of chapter <NUM> of this report where the commission examined in greater detail the economic definitions of regional competitiveness and attempted to analyse the extent to which this competitiveness may be supported improved and influenced by factors which some of you mr markov just now and mrs raschhofer stressed very forcefully <EOS>    PP Score = 4.914
<SOS> i am thinking of technological research and development infrastructure provision and quality human resources potential small and medium sized businesses and direct investment from abroad <EOS>    PP Score = 5.130
<SOS> so much for the quality <EOS>    PP Score = 13.533
<SOS> i do not wish to spend time right now mr berend going into details regarding my opinion of the general points which your house has already endorsed <EOS>    PP Score = 5.680
<SOS> let me just itemise them the first point concerns the usefulness of the conclusions of this report in drawing up the priorities of the new regional policy particularly for the negotiation of programming documents with the member states <EOS>    PP Score = 7.129
<SOS> thirdly the need to develop the employment side of growth even though i am aware as mr van dam just said that the prime responsibility is that of the member states and that when we speak of the responsibility of member states and indeed of the usefulness or effectiveness of this regional policy we must clearly establish what sort of period we are working in <EOS>    PP Score = 6.630
<SOS> mr fruteau stated just now that the fruits of growth were distributed inequitably <EOS>    PP Score = 9.500
<SOS> mr fruteau we at least need to recognise that there is growth and that we are not working in a period of stagnation or recession as has been the case in the past <EOS>    PP Score = 8.322
<SOS> you will tell me that situations of growth or shortage do not affect everyone alike <EOS>    PP Score = 6.428
<SOS> i agree with your analysis <EOS>    PP Score = 13.701
<SOS> when there is growth it must be better distributed but a matter that is even more difficult and which more seriously affects the regions handicapped by their remoteness be they the most remote or island regions is the lack of growth which generally characterised the last two decades <EOS>    PP Score = 6.848
<SOS> fourthly a point which mrs hedkvist petersen stressed just now the promotion of an equal opportunities policy for women and young people <EOS>    PP Score = 6.311
<SOS> fifthly the importance and role of small and medium sized businesses mr vatanen expressed this most forcefully just now <EOS>    PP Score = 6.220
<SOS> finally the positive effects on national administrations of the system of management of the structural funds the motives of officials in managing these funds even if it is occasionally complicated and the importance of once again making improvements to the procedures for the evaluation follow up and supervision of the commission <EOS>    PP Score = 6.180
<SOS> in relation to this i must inform the european parliament of my intention to organise halfway through the year <NUM> a seminar with national and regional authorities on this question of the evaluation of procedures for the exchange of good practice in the management of structural funds <EOS>    PP Score = 6.525
<SOS> i should like to mention a few specific points <EOS>    PP Score = 5.853
<SOS> mr berend you expressed a wish that zoning should be implemented quickly <EOS>    PP Score = 6.860
<SOS> well we are coming to an end of the zoning phase <EOS>    PP Score = 10.892
<SOS> you may therefore be satisfied on this point since zoning will have been completed for all the countries affected by objective 2 <EOS>    PP Score = 7.775
<SOS> regarding the informal economy you mention in your report i am well aware that the analysis and production of statistics on this subject are dependent on the reliability of data and as mr cocilovo mentioned there is clearly a problem with the reliability of this data <EOS>    PP Score = 5.983
<SOS> to a certain extent they are taken into account in the statistics on gdp and labour force surveys and in any case i wish to point out the efforts which eurostat is making and shall continue to make in order to improve the quality of the statistics <EOS>    PP Score = 5.384
<SOS> mr berend you also mentioned as did mr aparicio sánchez the lack of reform in the fisheries sector <EOS>    PP Score = 7.211
<SOS> on this point which is of personal interest to me let me remind you that the small scale of this sector and this does not necessarily mean that it is an insignificant area and its concentration in a limited number of regions do not make it easy to analyse in a regional context <EOS>    PP Score = 6.799
<SOS> this type of sectoral analysis pertains rather to the practice and competence of the directorate general for fisheries under commissioner fischler <EOS>    PP Score = 6.385
<SOS> nonetheless i must assure you that the commission will make every effort to include an analysis of this type in the second report on cohesion which no doubt will respond better to these concerns <EOS>    PP Score = 5.994
<SOS> several of you mentioned points which must be included in the second report on cohesion and your rapporteur mentioned some of these <EOS>    PP Score = 7.990
<SOS> i wish to assure you firstly that the merging of the periodic reports and the report on cohesion should not entail any loss of information or loss of interest as regards the content of the report on cohesion which is as far as i am concerned mr berend an extremely important instrument not only to provide information on what has been achieved in a transparent and rigorous manner so that future guidelines may be examined or evaluated but also to create a public debate involving the citizens of europe and furthermore with the elected representatives i e yourselves on the subject of this regional policy and what might one day be a european regional planning policy <EOS>    PP Score = 5.611
